starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 21 05:56:02 2018	1532123762	62	1902	1964	80
Sat Jul 21 05:55:58 2018	1532123758	58	2071	2129	47
Sat Jul 21 05:56:19 2018	1532123779	316	1837	2153	293
Sat Jul 21 05:56:14 2018	1532123774	59	2133	2192	49
Sat Jul 21 05:55:49 2018	1532123749	61	2147	2208	53
Sat Jul 21 05:56:07 2018	1532123767	62	2281	2343	62
Sat Jul 21 05:56:30 2018	1532123790	60	2333	2393	67
Sat Jul 21 05:56:20 2018	1532123780	68	2343	2410	59
Sat Jul 21 05:55:51 2018	1532123751	209	2297	2506	77
Sat Jul 21 05:56:23 2018	1532123783	77	2481	2558	96
Sat Jul 21 05:55:33 2018	1532123733	606	1982	2588	203
Sat Jul 21 05:55:42 2018	1532123742	74	2587	2661	68
Sat Jul 21 05:56:27 2018	1532123787	60	2637	2697	52
Sat Jul 21 05:56:04 2018	1532123764	61	2655	2716	98
Sat Jul 21 05:55:39 2018	1532123739	62	2656	2718	53
Sat Jul 21 05:55:35 2018	1532123735	463	2309	2772	170
Sat Jul 21 05:55:45 2018	1532123745	65	2713	2779	53
Sat Jul 21 05:56:08 2018	1532123768	59	2810	2869	317
Sat Jul 21 05:55:46 2018	1532123746	60	2835	2895	852
Sat Jul 21 05:56:09 2018	1532123769	58	2900	2958	91
Sat Jul 21 05:55:43 2018	1532123743	61	2906	2968	51
Sat Jul 21 05:56:16 2018	1532123776	60	2916	2976	55
Sat Jul 21 05:55:59 2018	1532123759	63	2919	2982	54
Sat Jul 21 05:56:11 2018	1532123771	62	2934	2995	53
Sat Jul 21 05:55:52 2018	1532123752	176	2870	3046	307
Sat Jul 21 05:55:56 2018	1532123756	60	2987	3047	88
Sat Jul 21 05:56:24 2018	1532123784	58	2990	3048	104
Sat Jul 21 05:55:36 2018	1532123736	632	2426	3059	325
Sat Jul 21 05:55:42 2018	1532123742	58	3019	3077	109
Sat Jul 21 05:55:52 2018	1532123752	176	2920	3097	174
Sat Jul 21 05:56:21 2018	1532123781	62	3077	3139	55
Sat Jul 21 05:56:23 2018	1532123783	60	3081	3141	100
Sat Jul 21 05:55:33 2018	1532123733	604	2592	3196	86
Sat Jul 21 05:56:11 2018	1532123771	62	3188	3251	111
Sat Jul 21 05:56:26 2018	1532123786	59	3400	3459	415
Sat Jul 21 05:55:36 2018	1532123736	327	3139	3467	349
Sat Jul 21 05:56:30 2018	1532123790	135	3337	3473	101
Sat Jul 21 05:55:33 2018	1532123733	619	2914	3533	195
Sat Jul 21 05:56:04 2018	1532123764	63	3643	3707	85
Sat Jul 21 05:55:54 2018	1532123754	303	3431	3734	186
Sat Jul 21 05:56:26 2018	1532123786	64	3682	3746	55
Sat Jul 21 05:56:00 2018	1532123760	63	3708	3771	79
Sat Jul 21 05:56:17 2018	1532123777	61	3712	3773	67
Sat Jul 21 05:56:19 2018	1532123779	302	3525	3828	165
Sat Jul 21 05:55:38 2018	1532123738	60	3775	3835	81
Sat Jul 21 05:56:04 2018	1532123764	60	3871	3931	52
Sat Jul 21 05:55:44 2018	1532123744	60	3905	3965	106
Sat Jul 21 05:56:07 2018	1532123767	77	3928	4004	78
Sat Jul 21 05:55:48 2018	1532123748	63	4067	4130	110
Sat Jul 21 05:55:39 2018	1532123739	78	4092	4170	89
Sat Jul 21 05:56:00 2018	1532123760	57	4257	4314	50
Sat Jul 21 05:56:12 2018	1532123772	61	4428	4488	80
Sat Jul 21 05:55:48 2018	1532123748	61	4557	4617	53
Sat Jul 21 05:56:14 2018	1532123774	61	4639	4700	81
Sat Jul 21 05:55:55 2018	1532123755	58	4755	4813	107
